RunnerIncidentId,IsProactivelyLinked,HasExistingParent,LinkedDate,ChildCreateDate,LinkResult,RunnerTitle,OwningTeamName,Severity,ProactiveParentIncidentId,IsProactivelyLinkedCompleted,Status,HasProactiveParent,EvidenceDate,ProactiveIncidentLink,ChildIncidentLink,ProactiveTitle
756365399,1,1,2026-03-03 00:00:00+00:00,,Incompleted,[Control Path: NSMPlus-AzSM] Runner Name: AzNetToolsRunners.LbMigrPubIPILB Region: useast2euap Instance: azfSpdSlbv1LbMigrPubIPILBuseast2euapProd Phase: DeleteRg,CLOUDNET\ValidationService(VALS),25,747297654,0,MITIGATED,1,2026-03-04 00:00:00+00:00,https://portal.microsofticm.com/imp/v5/incidents/details/747297654/summary,https://portal.microsofticm.com/imp/v5/incidents/details/756365399/summary,"[SdnRunner Proactive] Failed Signature: DeleteResourceGroupFailed: timeout (The web server failed to respond within the specified time.), Log: Runner Log"
756464563,0,0,2026-03-03 00:00:00+00:00,2026-03-03 00:00:00+00:00,DatabaseDown,[Control Path: RNC] Runner Name: AzNetToolsRunners.LongRunnerNicTestSuite Region: useast2euap Instance: azfRNCRNMLongRunnerNicTestSuiteuseast2euapPairuswest2Prod Phase: UDR_EnableVm2IpForwardingViaScriptFromVm1 - VerifyScriptRunningResult,CLOUDNET\RNC,3,,,,0,2026-03-03 00:00:00+00:00,https://portal.microsofticm.com/imp/v5/incidents/details//summary,https://portal.microsofticm.com/imp/v5/incidents/details/756464563/summary,
756331879,1,1,2026-03-03 00:00:00+00:00,,Completed,[Control Path: NSMPlus-AzSM] Runner Name: AzNetToolsRunners.AzsmApiMgdVip Region: useast2euap Instance: azfSpdSlbv1AzsmApiMgdVipuseast2euapProd Phase: DeleteRg,CLOUDNET\NCPQuality,25,785666364,1,ACTIVE,1,2026-05-06 00:00:00+00:00,https://portal.microsofticm.com/imp/v5/incidents/details/785666364/summary,https://portal.microsofticm.com/imp/v5/incidents/details/756331879/summary,"[SdnRunner Proactive] Failed Signature: DeleteResourceGroupFailed: timeout (The web server failed to respond within the, Log: Runner Log"
785129662,1,1,2026-04-24 00:00:00+00:00,,Completed,[Control Path: NSMPlus-AzSM] Runner Name: AzNetToolsRunners.LbMigrPubIPLB Region: useast2euap Instance: azfNonSpdSlbv1LbMigrPubIPLBuseast2euapProd Phase: DeleteRg,CLOUDNET\NCPQuality,25,785666364,1,ACTIVE,1,2026-05-06 00:00:00+00:00,https://portal.microsofticm.com/imp/v5/incidents/details/785666364/summary,https://portal.microsofticm.com/imp/v5/incidents/details/785129662/summary,"[SdnRunner Proactive] Failed Signature: DeleteResourceGroupFailed: timeout (The web server failed to respond within the, Log: Runner Log"
781676783,1,1,2026-04-17 00:00:00+00:00,,Completed,[Control Path: NSMPlus-AzSM] Runner Name: AzNetToolsRunners.LbMigrPubIPILB Region: useast2euap Instance: azfSpdSlbv1LbMigrPubIPILBuseast2euapProd Phase: DeleteRg,CLOUDNET\NCPQuality,25,785666364,1,ACTIVE,1,2026-05-06 00:00:00+00:00,https://portal.microsofticm.com/imp/v5/incidents/details/785666364/summary,https://portal.microsofticm.com/imp/v5/incidents/details/781676783/summary,"[SdnRunner Proactive] Failed Signature: DeleteResourceGroupFailed: timeout (The web server failed to respond within the, Log: Runner Log"
785529748,1,1,2026-04-24 00:00:00+00:00,,Completed,[Control Path: NSMPlus-AzSM] Runner Name: AzNetToolsRunners.AzsmSvdVip Region: useast Instance: azfRNCAzsmSvdVipuseastProd Phase: InitialDeployment,CLOUDNET\SdnPubSub,2,784948809,1,RESOLVED,1,2026-04-24 00:00:00+00:00,https://portal.microsofticm.com/imp/v5/incidents/details/784948809/summary,https://portal.microsofticm.com/imp/v5/incidents/details/785529748/summary,"[SdnRunner Proactive] Failed Signature: OSProvisioningTimedOut: OS Provisioning for VM '<VM>', Log: Runner Log"
785084523,0,0,2026-04-23 00:00:00+00:00,2026-04-23 00:00:00+00:00,DatabaseDown,[RNC Runner] [Control Path: Vnet] Runner Name: AzNetToolsRunners.STPoliciesStorage Region: usgovsc Instance: azfRNCSTPoliciesStorageusgovscPairusdodeastProd Phase: InitialDeployment,CLOUDNET\VNET,3,,,,0,2026-04-23 00:00:00+00:00,https://portal.microsofticm.com/imp/v5/incidents/details//summary,https://portal.microsofticm.com/imp/v5/incidents/details/785084523/summary,
765206360,0,0,2026-03-19 00:00:00+00:00,2026-03-19 00:00:00+00:00,DatabaseDown,[RNC Runner] [Control Path: Vnet] Runner Name: AzNetToolsRunners.STPoliciesStorage Region: usgovsc Instance: azfRNCSTPoliciesStorageusgovscPairusdodeastProd Phase: InitialDeployment,CLOUDNET\VNET,3,,,,0,2026-03-19 00:00:00+00:00,https://portal.microsofticm.com/imp/v5/incidents/details//summary,https://portal.microsofticm.com/imp/v5/incidents/details/765206360/summary,
785613922,0,1,2026-04-24 00:00:00+00:00,2026-04-24 00:00:00+00:00,DatabaseDown,[Control Path: RNC] Runner Name: AzNetToolsRunners.RnmNsgRunner Region: useast Instance: azfHybrid1RnmNsgRunneruseastProd Phase: GetEffectiveNsg,CLOUDNET\RNM,25,,,,0,2026-04-24 00:00:00+00:00,https://portal.microsofticm.com/imp/v5/incidents/details//summary,https://portal.microsofticm.com/imp/v5/incidents/details/785613922/summary,
784479925,1,1,2026-04-22 00:00:00+00:00,,Completed,[Control Path: NSMPlus-AzSM] Runner Name: AzNetToolsRunners.AzsmApiMgdVip Region: useast2euap Instance: azfSpdSlbv1AzsmApiMgdVipuseast2euapProd Phase: DeleteRg,CLOUDNET\NCPQuality,25,785666364,1,ACTIVE,1,2026-05-06 00:00:00+00:00,https://portal.microsofticm.com/imp/v5/incidents/details/785666364/summary,https://portal.microsofticm.com/imp/v5/incidents/details/784479925/summary,"[SdnRunner Proactive] Failed Signature: DeleteResourceGroupFailed: timeout (The web server failed to respond within the, Log: Runner Log"
